post_id,customer_id,date,platform,image_url,text_content,topics_of_interest,feedback_on_financial_products,sentiment_score,engagement_level,brands_liked
POST_1,CUST_1,28/04/2024,Online,https://example.com/images/foodie.jpg,Brunching at a local spot today! 🍳🥑 So good. #sundayfunday #brunch #localfood,"Food,Dining,Local Business",Neutral,0.0,0.7,Local Restaurant
POST_2,CUST_1,25/04/2024,Online,https://example.com/images/coding.jpg,"Long day of debugging, but finally squashed that pesky bug! 💻🐛 #softwareengineer #codinglife #womenintech","Technology,Software,Programming",Neutral,0.0,0.6,
POST_3,CUST_1,22/04/2024,Online,https://example.com/images/outdoorgear.jpg,Prepping for my next hiking trip!  New gear always gets me excited. #hiking #outdoors #adventure,"Travel,Outdoors,Shopping",Neutral,0.0,0.8,"Patagonia,REI"
POST_4,CUST_1,19/04/2024,Online,https://example.com/images/plane.jpg,Booked a flight for a quick getaway next month! Can't wait to explore a new city. ✈️ #travel #adventure #getaway,"Travel,Flights",Neutral,0,0.9,Alaska Airlines
POST_5,CUST_1,17/04/2024,Online,https://example.com/images/rent.jpg,"Rent's paid! Adulting is expensive, but staying on top of bills feels good. Another step closer to that house downpayment. #rent #adulting #financialgoals","Finance,Housing",Neutral,0.0,0.5,
POST_6,CUST_1,14/04/2024,Online,https://example.com/images/groceries.jpg,Stocked up on groceries for the week.  Trying to eat healthier! #groceries #healthyfood #mealprep,"Food,Groceries,Health",Neutral,0.0,0.4,"Trader Joe's,Safeway"
POST_7,CUST_1,11/04/2024,Online,https://example.com/images/utility_bill.jpg,"Another month, another round of bills. Grateful for a steady income. #adulting #utilities","Finance,Utilities",Neutral,0.0,0.2,PG&E
POST_8,CUST_1,08/04/2024,Online,https://example.com/images/netflix.jpg,Binge-watching a new show tonight.  Much needed relaxation after a busy week. #netflix #streaming #relax,"Entertainment,Streaming",Neutral,0.0,0.5,Netflix
POST_9,CUST_1,05/04/2024,Online,https://example.com/images/tech_books.jpg,Just got some new tech books to level up my skills! Always learning. #softwareengineer #techbooks #learning,"Technology,Books,Education",Neutral,0,0.7,O'Reilly
POST_10,CUST_1,02/04/2024,Online,https://example.com/images/california.jpg,Beautiful California sunset tonight.  So grateful to live here. #california #sunset #grateful,"Travel,Lifestyle,California",Neutral,0.0,0.8,
POST_11,CUST_1,29/03/2024,Online,https://example.com/images/creditcard.jpg,It's nice to have a good credit score. Hoping it helps with the house hunting process! #creditscore #finance #goodcredit,"Finance,Credit Score",Positive,0.7,0.6,
POST_12,CUST_1,18/03/2024,Online,https://example.com/images/mobile_app.jpg,Glad that whole banking app issue got sorted out quickly a while back.  Need to be able to manage my money on the go. #mobilebanking #bankingapp,"Banking,Mobile App,Technology",Positive,0.7,0.4,
POST_13,CUST_1,07/03/2024,Online,https://example.com/tool.jpg,Relying on online tools and software for work.,"Software, Online tool",Neutral,0,0.1,Atlassian
POST_14,CUST_1,20/09/2023,Online,https://example.com/images/question.png,So frustrating dealing with unexpected fees on my credit card.  Hoping customer service can sort this out... #creditcardfees #bankingissues #customerservice,"Banking,Customer Service,Credit Card",Negative,-0.7,0.5,
POST_15,CUST_2,05/07/2024,Offline,https://example.com/images/family_dinner.jpg,Enjoying a nice family dinner after a long week.  Sometimes it's the simple things!,"Family,Dining,Food",Neutral,0,0.7,"HEB,Chick-fil-A"
POST_16,CUST_2,08/07/2024,Online,https://example.com/images/kids_sports.jpg,Weekend soccer games are in full swing!  So proud of these two. #YouthSports #SoccerDad,"Sports,Family,Children",Neutral,0,0.8,Academy Sports
POST_17,CUST_2,11/07/2024,Offline,https://example.com/images/groceries.jpg,"Another week, another grocery haul.  Trying to keep the fridge stocked for the family. #GroceryShopping","Groceries,Food,Family",Neutral,0,0.3,HEB
POST_18,CUST_2,15/07/2024,Online,https://example.com/images/generic_frustration.jpg,"Dealing with so many online accounts and passwords is a real headache.  Wish there was a simpler, more secure way.  #TechFrustration #OnlineSecurity","Technology,Security,OnlineBanking",Negative,-0.6,0.2,
POST_19,CUST_2,18/07/2024,Offline,https://example.com/images/back_to_school.jpg,Back-to-school shopping done! Always a bigger expense than I anticipate. #BackToSchool #SchoolSupplies,"Shopping,Children,Education",Neutral,0,0.5,Target
POST_20,CUST_2,22/07/2024,Online,https://example.com/images/project-management.jpg,"Juggling multiple projects at work, as usual. Project management life... #ProjectManager #WorkLife","Work,ProjectManagement",Neutral,0.0,0.2,
POST_21,CUST_2,25/07/2024,Online,https://example.com/images/generic_billing.jpg,"Seriously, unexpected fees are the worst.  Need to budget carefully, and these surprises throw everything off. #HiddenFees #Budgeting","Finance,Budgeting",Negative,-0.7,0.4,
POST_22,CUST_2,29/07/2024,Offline,https://example.com/images/family_time.jpg,Quality time with the family this weekend. Making memories! #FamilyTime,Family,Neutral,0,0.7,
POST_23,CUST_2,01/08/2024,Online,https://example.com/images/newsletter.png,Getting bombarded with marketing emails lately. So much digital clutter! #EmailOverload #Unsubscribe,"Marketing,Email",Negative,-0.6,0.1,
POST_24,CUST_2,05/08/2024,Online,https://example.com/images/texas_sunset.jpg,Beautiful Texas sunset tonight!  #TexasLiving #Sunset,"Texas,Lifestyle",Neutral,0,0.6,
POST_25,CUST_2,09/08/2024,Offline,https://example.com/kids_playing.jpg,Kids and their endless energy...I need a nap just watching them! #parenting #kidsactivities,"Children,Family,Parenting",Neutral,0,0.5,
POST_26,CUST_2,12/08/2024,Online,https://example.com/online_banking.png,Having trouble accessing my finances online recently is so disruptive. Need reliable access to manage my account. #OnlineBanking #Accessibility,"OnlineBanking,Technology",Negative,-0.7,0.4,
POST_27,CUST_2,14/08/2024,Online,https://www.example.com/budget.png,Monthly budget review. Staying on track for the kids' education fund is a top priority. #FinancialPlanning #EducationSavings,"Finance,Education,Savings,Budgeting",Neutral,0.2,0.3,
POST_28,CUST_2,16/08/2024,Offline,https://example.com/images/dinner_out.jpg,Rare dinner out! Trying to enjoy the little moments. #DiningOut #FamilyTime,"Dining,Family",Neutral,0,0.6,Chick-fil-A
POST_29,CUST_3,08/05/24,Online,https://example.com/images/grandkids_beach.jpg,Beautiful day at the beach with the grandkids!  Florida sunshine is the best medicine. ☀️ #grandparentlife #floridaliving,"Family,Travel,Retirement,Florida",Neutral,0.0,0.7,
POST_30,CUST_3,03/05/24,Online,https://example.com/images/garden_flowers.jpg,My garden is finally blooming!  So rewarding to see the colors after all the work. #gardening #springblooms #retiredlife,"Gardening,Hobbies,Retirement",Neutral,0.0,0.6,
POST_31,CUST_3,29/04/24,Online,https://example.com/images/generic_online_banking.jpg,"Used the online banking app today. Still getting the hang of it, but paying bills from home is certainly convenient. #onlinebanking","Technology,Banking,Finance",Neutral,0.2,0.3,
POST_32,CUST_3,24/04/24,Online,https://example.com/images/dinner_with_friends.jpg,Wonderful dinner with friends last night.  Good food and even better company! #friends #retiredlife #social,"Social,Friends,Retirement",Neutral,0.0,0.5,Olive Garden
POST_33,CUST_3,18/04/24,Online,https://example.com/images/generic_password.jpg,Had a little trouble with my online banking password. The support team got me sorted out. It is a relief. #banking #techsupport,"Banking,Technology,Customer Service",Positive,0.6,0.4,
POST_34,CUST_3,12/04/24,Online,https://example.com/images/grocery_store.jpg,Grocery shopping done for the week!  Trying to stick to my budget. #groceries #budgeting #retiredlife,"Groceries,Budgeting,Retirement",Neutral,0.0,0.2,"Publix,Walmart"
POST_35,CUST_3,07/04/24,Online,https://example.com/images/old_classroom.jpg,"Thinking about my years teaching today.  Miss the kids, but definitely not the early mornings! #retiredteacher #memories","Teaching,Retirement,Memories",Neutral,0.0,0.7,
POST_36,CUST_3,01/04/24,Online,https://example.com/images/confused_emoji.jpg,"Little hiccup with online banking access, but sorted now.  Technology can be tricky sometimes! 😕 #onlinebanking #techissues","Banking, Technology",Neutral,0.1,0.3,
POST_37,CUST_3,25/03/24,Online,https://example.com/images/doctor_visit.jpg,"Regular check-up at the doctor today.  So important to stay on top of your health, especially as you get older. #health #healthcare #retirement","Healthcare,Retirement",Neutral,0.0,0.4,"Senior Medical Center,CVS,Walgreens"
