post_id,org_id,date,platform,image_url,text_content,accounts_followed,topics_of_interest,feedback_on_financial_services,sentiment_score,engagement_level,partners_mentioned,post_type
POST_1,ORG_1,15/08/23,LinkedIn,https://example.com/images/innotech/announcement1.jpg,InnoTech Solutions is thrilled to announce our expansion into new markets! We're bringing our innovative tech solutions to businesses across the West Coast.  Learn more about our growth strategy on our blog.,,"['Company News', 'Expansion', 'Technology Solutions', 'B2B']",Not Applicable,8.5,7.2,[],Announcement
POST_2,ORG_1,22/08/23,Twitter,https://example.com/images/innotech/product1.jpg,Boost your team's productivity with InnoTech's latest software update!  Streamlined workflows and enhanced features are here. #tech #innovation #productivity,,"['Product Update', 'Technology', 'Software', 'Productivity']",Not Applicable,7.8,6.5,[],Promotion
POST_3,ORG_1,05/09/23,Facebook,https://example.com/images/innotech/industrynews1.jpg,"Exciting developments in AI are transforming the tech landscape! InnoTech Solutions is at the forefront, integrating these advancements to deliver cutting-edge solutions for our clients.  Read more about the latest AI trends.",,"['Industry News', 'AI', 'Technology Trends', 'Innovation']",Not Applicable,8.2,7.0,[],Industry News
POST_4,ORG_1,12/09/23,LinkedIn,https://example.com/images/innotech/partnership1.jpg,"We're proud to announce our partnership with DataWiz Corp! Together, we'll deliver even more powerful data analytics solutions to our clients. #partnership #dataanalytics #B2B",,"['Partnership', 'Data Analytics', 'Business Development']",Not Applicable,9.0,8.1,['DataWiz Corp'],Announcement
POST_5,ORG_1,28/09/23,Twitter,https://example.com/images/innotech/finance1.jpg,Smooth financial operations are key to our growth.  We appreciate the reliable support from our banking partners! #businessgrowth #finance,,"['Finance', 'Business Growth', 'Banking']",Positive,7.9,6.8,[],Financial
POST_6,ORG_1,10/10/23,Instagram,https://example.com/images/innotech/team1.jpg,Behind every great solution is a great team!  Meet the InnoTech minds driving innovation. #team #innovation #tech,,"['Company Culture', 'Team', 'Technology']",Not Applicable,8.7,7.5,[],Community
POST_7,ORG_1,26/10/23,Company Blog,https://example.com/images/innotech/blogpost1.jpg,Deep Dive: How InnoTech Solutions is leveraging Cloud Technology to enhance scalability and security for our clients. We explore the benefits and our implementation strategy in our latest blog post.,,"['Cloud Technology', 'Scalability', 'Security', 'Technology Solutions']",Not Applicable,8.0,6.9,[],Industry News
POST_8,ORG_1,02/11/23,Facebook,https://example.com/images/innotech/promotion2.jpg,Cybersecurity threats are evolving.  InnoTech Solutions offers robust security solutions to protect your business. Learn about our comprehensive protection packages and get a free consultation.,,"['Cybersecurity', 'Security Solutions', 'Technology']",Not Applicable,8.3,7.1,[],Promotion
POST_9,ORG_1,18/11/23,LinkedIn,https://example.com/images/innotech/hiring1.jpg,InnoTech Solutions is growing! We're looking for talented software engineers to join our team. Check out our careers page for open positions. #hiring #softwareengineer #techjobs,,"['Hiring', 'Careers', 'Job Opportunities', 'Software Engineering']",Not Applicable,8.6,7.4,[],Hiring
POST_10,ORG_1,05/12/23,Twitter,https://example.com/images/innotech/finance2.jpg,Efficient banking services contribute to a positive bottom line. #banking #efficiency #business,,"['Finance', 'Banking', 'Business Efficiency']",Positive,7.7,6.2,[],Financial
POST_11,ORG_1,13/12/23,Instagram,https://example.com/images/innotech/event.jpg,Join InnoTech Solutions at the upcoming TechForward Summit! We'll discuss the future of B2B technology. #techconference #innovation,,"['Community', 'Technology', 'Event', 'B2B']",Not Applicable,8.1,6.5,[],Community
POST_12,ORG_1,28/12/23,LinkedIn,https://example.com/images/innotech/yearend.jpg,Reflecting on a year of growth and innovation at InnoTech Solutions. Thank you to our clients and partners for a successful year! Looking forward to 2024.,,"['Year in Review', 'Company News', 'Thank You']",Not Applicable,9.2,8.0,[],Announcement
POST_13,ORG_1,15/01/24,Twitter,https://example.com/images/innotech/securitytip.jpg,Quick Tip: Regularly update your passwords to enhance your cybersecurity. Stay protected! #cybersecuritytips #security,,"['Cybersecurity', 'Security Tips', 'Technology']",Not Applicable,8.0,7.0,[],Promotion
POST_14,ORG_1,02/02/24,Facebook,https://example.com/image/innotech/blog_feature.jpg,Check out our latest blog on the top 5 technology trends for 2024 and how businesses are leveraging them to innovate and grow. Don't miss the chance to get a step ahead.,,"['Technology Trends', 'Innovation', '2024 Trends']",Not Applicable,8.4,7.2,[],Industry News
POST_15,ORG_1,21/02/24,LinkedIn,https://example.com/images/innotech/sustainability1.jpg,"InnoTech Solutions is committed to sustainable technology practices. We are working to further lower enegry consumtion in all areas of our operations, to reduce our carbon footprint. #sustainability #tech",,"['Sustainability', 'Corporate Social Responsibility', 'Green Tech']",Not Applicable,8.8,5.0,[],Community
POST_16,ORG_2,15/09/23,Facebook,https://example.com/images/medicare/anniversary.jpg,Celebrating 25 years of providing exceptional healthcare to the Florida community! Thank you to our dedicated team and loyal patients. Here's to many more years of service! #MediCareProvidersGroup #25Years #HealthcareExcellence,,"['Company News', 'Community', 'Healthcare']",Not Applicable,9.2,8.5,[],Announcement
POST_17,ORG_2,22/09/23,LinkedIn,https://example.com/images/medicare/newservice.jpg,"Introducing our new Telehealth service, bringing quality healthcare to your fingertips.  Learn more and book your virtual appointment today: [link to website] #Telehealth #HealthcareInnovation #MediCareProvidersGroup",,"['Product Promotion', 'Technology Trends', 'Healthcare']",Not Applicable,8.0,7.1,[],Promotion
POST_18,ORG_2,01/10/23,Twitter,https://example.com/images/medicare/team.jpg,"Meet Dr. Emily Carter, our new Head of Cardiology!  We're thrilled to have her expertise on the MediCare team. #HealthcareLeadership #Cardiology #Welcome",,"['Company News', 'Healthcare']",Not Applicable,8.5,6.8,[],Announcement
POST_19,ORG_2,10/10/23,Instagram,https://example.com/images/medicare/communityevent.jpg,We're proud to sponsor the Florida Health & Wellness Fair!  Visit our booth for free health screenings and information. #CommunityHealth #FloridaEvents #MediCareProvidersGroup,,"['Community', 'Healthcare', 'Events']",Not Applicable,7.8,8.2,['Florida Health & Wellness Fair'],Community
POST_20,ORG_2,18/10/23,Company Blog,https://example.com/images/medicare/blogpost1.jpg,Navigating the complexities of health insurance can be challenging. Our latest blog post offers helpful tips and clarifies common misconceptions. Read more: [link to blog post],,"['Healthcare', 'Patient Education']",Not Applicable,7.0,6.5,[],Industry News
POST_21,ORG_2,29/10/23,Facebook,https://example.com/images/medicare/patient_story.jpg,"Read about Sarah's inspiring recovery journey with MediCare Providers Group. Our commitment is to provide the highest quality of care, and Sarah's story demonstrates just the kind of impact we want our health services to have on our community. #PatientStories #HealthcareExcellence",,"['Patient Stories', 'Healthcare']",Not Applicable,9.6,9.1,[],Community
POST_22,ORG_2,05/11/23,Twitter,https://example.com/images/medicare/industry_news.jpg,New research shows promising advancements in diabetes treatment. #DiabetesResearch #HealthcareNews #Innovation,,"['Industry News', 'Healthcare']",Not Applicable,7.2,6.0,[],Industry News
POST_23,ORG_2,12/11/23,LinkedIn,https://example.com/images/medicare/partnership.jpg,We're excited to announce our partnership with Local Gym Chain to promote wellness in our community. More details to come! #Partnerships #CommunityWellness #Healthcare,,"['Partnerships', 'Community', 'Healthcare']",Not Applicable,8.3,7.5,['Local Gym Chain'],Announcement
POST_24,ORG_2,20/11/23,Facebook,https://example.com/images/medicare/financial.jpg,"While we appreciate our bank’s stability (AA rating), we are looking for financial partners who are a bit more innovative in their service offerings. #Banking #Finance #HealthcareFinance",,"['Finance', 'Banking']",Neutral,6.5,5.8,[],Financial
POST_25,ORG_2,28/11/23,Instagram,https://example.com/images/medicare/healthtip.jpg,Stay hydrated! Drinking enough water is crucial for overall health and well-being. #HealthTip #Wellness #MediCareProvidersGroup,,"['Healthcare', 'Wellness']",Not Applicable,7.5,7.9,[],Community
POST_26,ORG_2,03/12/23,Twitter,https://example.com/images/medicare/givingtuesday.jpg,Today is #GivingTuesday!  Consider donating to your local hospital or health-related charity.  #HealthcareHeroes,,"['Community', 'Healthcare']",Not Applicable,8.1,7,[],Community
POST_27,ORG_2,11/12/23,LinkedIn,https://example.com/company/conference.jpg,"Our CEO, Jane Doe, will be speaking at the Florida Healthcare Leaders Conference next month. Join us! #HealthcareLeadership #Conference",,"['Industry News', 'Leadership']",Not Applicable,7.8,6.3,['Florida Healthcare Leaders Conference'],Industry News
POST_28,ORG_2,19/12/23,Company Blog,https://example.com/images/medicare/blogpost2.jpg,Looking for ways to improve your financial processes in line with predicted technology changes in the upcoming year? Read up on some best practices in billing and payment collection. [link to blog],,"['Finance', 'Technology Trends']",Neutral,6.9,5.9,[],Financial
POST_29,ORG_2,27/12/23,Facebook,https://example.com/images/medicare/holiday.jpg,Wishing all our patients and staff a happy and healthy holiday season! #HappyHolidays #MediCareProvidersGroup,,['Community'],Not Applicable,9.0,8.0,[],Community
POST_30,ORG_2,03/01/24,Twitter,https://example.com/images/medicare/newyear.jpg,Happy New Year! We are ready to help you achieve your health goals. #NewYearNewYou,,['Healthcare'],Not Applicable,8.6,8.2,[],Community
POST_31,ORG_3,15/08/23,LinkedIn,https://example.com/images/globaltrade/anniversary.jpg,Global Trade Manufacturing celebrates 60 years of excellence in the industry! We're proud of our journey and grateful to our clients and partners. Here's to many more years of innovation and growth! #Manufacturing #Anniversary #60Years,,"['Company News', 'Manufacturing', 'Anniversary']",Not Applicable,9.2,8.5,[],Announcement
