post_id,customer_id,date,platform,image_url,text_content,influencers_followed,topics_of_interest,feedback_on_financial_products,sentiment_score,engagement_level,brands_liked
POST_1,CUST_1,18/08/23,Online,https://example.com/images/family_dinner.jpg,Family dinner after a long week!  So grateful for these moments. #familytime #blessed,3,"['Parenting', 'Food', 'Lifestyle']",Neutral,8.5,7.8,"['Target', 'Whole Foods', 'Amazon']"
POST_2,CUST_1,25/08/23,Online,https://example.com/images/work_laptop.jpg,Busy day juggling work and kids' schedules.  Anyone else feel like they're constantly on the go? #workingmom #marketinglife,5,"['Marketing', 'WorkLifeBalance', 'Parenting']",Neutral,6.8,5.2,"['Apple', 'Starbucks', 'Zoom']"
POST_3,CUST_1,02/09/23,Online,https://example.com/images/kids_soccer.jpg,Soccer Saturday!  So proud of my little athletes. #soccermom #kidsactivities,2,"['Sports', 'Parenting', 'KidsActivities']",Neutral,8.2,7.1,"['Nike', 'Adidas', 'DicksSportingGoods']"
POST_4,CUST_1,10/09/23,Online,https://example.com/images/home_improvement.jpg,Finally tackling that home improvement project we've been putting off. Wish us luck! #DIY #homeimprovement,4,"['HomeImprovement', 'DIY', 'InteriorDesign']",Neutral,7.5,6.3,"['HomeDepot', 'Lowes', 'Ikea']"
POST_5,CUST_1,15/09/23,Online,https://example.com/images/creditcard.jpg,Using my credit card for groceries today to rack up those rewards points!  Every little bit helps. #creditcardrewards #smartspending,3,"['Finance', 'PersonalFinance', 'Shopping']",Positive,7.9,6.8,"['Chase', 'AmericanExpress', 'Visa']"
POST_6,CUST_1,22/09/23,Online,https://example.com/images/weekend_getaway.jpg,Quick weekend getaway to recharge.  California has so many beautiful spots! #weekendvibes #california,6,"['Travel', 'California', 'Lifestyle']",Neutral,8.8,8.1,"['Airbnb', 'Expedia', 'Southwest']"
POST_7,CUST_1,29/09/23,Online,https://example.com/images/school_supplies.jpg,Back to school shopping done!  The costs really add up.  #backtoschool #parenting,2,"['Parenting', 'Education', 'Shopping']",Neutral,6.5,5.4,"['Target', 'Amazon', 'Walmart']"
POST_8,CUST_1,05/10/23,Online,https://example.com/images/online_banking.jpg,Trying to navigate my bank's website and it's a bit confusing.  Could be more user-friendly. #onlinebanking #banking,1,"['Finance', 'Technology', 'Banking']",Negative,4.5,3.2,"['Mint', 'PersonalCapital']"
POST_9,CUST_1,12/10/23,Online,https://example.com/images/date_night.jpg,Date night with the hubby!  Much needed after a busy few weeks.  #datenight #marriedlife,3,"['Relationships', 'Lifestyle', 'Food']",Neutral,9.1,8.4,"['OpenTable', 'Yelp', 'Uber']"
POST_10,CUST_1,19/10/23,Online,https://example.com/images/marketing_meeting.jpg,Long day of marketing meetings.  Ready for the weekend! #marketing #worklife,7,"['Marketing', 'Business', 'Advertising']",Neutral,7.0,5.9,"['HubSpot', 'Salesforce', 'Google']"
