post_id,org_id,date,platform,image_url,text_content,topics_of_interest,feedback_on_financial_services,sentiment_score,engagement_level,partners_mentioned,post_type
POST_1,ORG_1,15/08/2023,LinkedIn,https://example.com/images/techsolutions/webinar1.jpg,Join our free webinar on 'The Future of AI in Business'! Learn how to leverage AI for growth. Register now: [link],"['Industry News', 'Technology Trends', 'Artificial Intelligence']",Not Applicable,6.5,7.5,[],Promotion
POST_2,ORG_1,22/08/2023,Twitter,https://example.com/images/techsolutions/team_event.jpg,Team-building event at TechSolutions Inc.! Celebrating 12 years of innovation and growth. #Teamwork #TechSolutions,"['Company Culture', 'Team Building']",Not Applicable,9.9,8.1,[],Community
POST_3,ORG_1,05/09/2023,Facebook,https://example.com/images/techsolutions/product_launch.jpg,Announcing the launch of our new cloud security solution! Protect your business with cutting-edge technology. Learn more and request a demo: [link],"['Product Launch', 'Cloud Security', 'Technology']",Not Applicable,6.8,6.8,[],Promotion
POST_4,ORG_1,12/09/2023,LinkedIn,https://example.com/images/techsolutions/blog_post.jpg,New blog post: 'The Importance of Cybersecurity in the Modern Business Landscape.' Read the full article here: [link],"['Cybersecurity', 'Industry News', 'Technology Trends']",Not Applicable,8.7,7.2,[],Industry News
POST_5,ORG_1,28/09/2023,Twitter,https://example.com/tech/partner.png,"Excited to announce our partnership with @DataWizards! Together, we'll deliver even more powerful data analytics solutions. #partnership #datanalytics","['Partnership', 'Data Analytics']",Not Applicable,8.0,8.1,['DataWizards'],Announcement
POST_6,ORG_1,19/10/2023,Instagram,https://example.com/images/techsolutions/office_view.jpg,A glimpse of our California HQ! We're proud to be a part of the vibrant tech community here. #TechSolutions #CaliforniaTech,"['Company Culture', 'Location']",Not Applicable,10.0,7.0,[],Community
POST_7,ORG_1,26/10/2023,LinkedIn,https://example.com/images/techsolutions/financial_services.jpg,"Our continued growth is supported by strong financial partnerships. We appreciate the reliable service from our banking partners, enabling us to innovate and expand.","['Finance', 'Company Growth']",Positive,8.2,6.5,[],Financial
POST_8,ORG_1,02/11/2023,Twitter,https://example.com/images/techsolutions/conference.jpg,Attending the #TechForward2023 conference! Come visit our booth to learn about our latest solutions. #Technology #Conference,"['Industry News', 'Technology Trends']",Not Applicable,7.1,7.8,[],Industry News
POST_9,ORG_1,09/11/2023,Facebook,https://example.com/images/techsolutions/client_success.jpg,Celebrating a major client success! We helped [Client Name] achieve a 30% increase in efficiency with our solutions. #ClientSuccess #TechSolutions,"['Client Success', 'Case Study']",Not Applicable,9.4,7.3,[],Promotion
POST_10,ORG_1,16/11/2023,LinkedIn,https://example.com/images/techsolutions/hiring.jpg,We're hiring! Join our growing team of talented professionals. Check out our open positions: [link] #TechJobs #Hiring,"['Hiring', 'Careers']",Not Applicable,7.0,8.5,[],Hiring
