Customer ID,Date,Platform,Image Url,Text Content,Sentiment Score,Engagement Level,Topics of Interest,Brands Liked,Influencers Followed,Feedback on Financial Products
1,2024-05-17,TikTok,http://example.com/image219.jpg,Establish understand read detail food shoulder argue start source husband.,0.01,Low,"Fashion, Travel","Amazon, Nike","InfluencerE, InfluencerC, InfluencerD",Decision wall then.
2,2024-07-12,TikTok,http://example.com/image9.jpg,How trip learn enter east no enjoy once today human despite young.,0.34,High,"Fashion, Travel","Nike, Apple","InfluencerE, InfluencerB, InfluencerD, InfluencerC, InfluencerA",Management sense technology check civil quite.
2,2024-10-23,Instagram,http://example.com/image209.jpg,High you more wife team activity result race Mr environment.,0.37,Medium,"Travel, Sports, Technology",,"InfluencerD, InfluencerC, InfluencerA, InfluencerE, InfluencerB",Born itself law west then.
2,2024-06-23,Twitter,http://example.com/image653.jpg,Seven medical blood personal success medical current hear claim well two truth.,0.96,Low,"Travel, Entertainment, Finance","Apple, Samsung, Microsoft","InfluencerB, InfluencerA, InfluencerE, InfluencerD, InfluencerC",Food affect upon these story film.
2,2024-04-09,Twitter,http://example.com/image43.jpg,Water beat magazine attorney set she campaign little near enter their institution deep.,-0.38,Low,"Politics, Finance",Nike,"InfluencerE, InfluencerD",Sense ready require human public health.
2,2025-02-11,TikTok,http://example.com/image768.jpg,Building different full open discover detail audience piece director town teacher.,-0.69,Low,Sports,"Apple, Nike, Google","InfluencerD, InfluencerB",Method everything magazine.
2,2024-10-02,Instagram,http://example.com/image164.jpg,Office drug list imagine behind probably great in tell approach president position art.,0.57,Low,"Technology, Health","Tesla, Nike, Samsung","InfluencerC, InfluencerB",Song body court movie cell.
2,2024-05-25,Twitter,http://example.com/image25.jpg,Economic type kitchen technology nearly anything yourself structure why unit support.,0.32,Medium,"Entertainment, Health",,"InfluencerC, InfluencerD",Image loss ten total.
2,2024-05-18,TikTok,http://example.com/image340.jpg,World enter six lawyer institution whatever.,0.88,Low,"Sports, Entertainment","Apple, Samsung","InfluencerD, InfluencerC, InfluencerE, InfluencerB",Product main couple design around save.
2,2024-04-10,LinkedIn,http://example.com/image621.jpg,Arm once me system church whether bag control organization push.,0.97,Low,"Politics, Sports",,"InfluencerD, InfluencerA, InfluencerC, InfluencerE, InfluencerB",Identify walk now often.
2,2024-04-02,LinkedIn,http://example.com/image72.jpg,Information on mission various daughter respond draw.,0.9,Medium,"Finance, Travel, Technology","Amazon, Samsung, Coca-Cola, Tesla, Google","InfluencerC, InfluencerB, InfluencerA",Capital population lead upon very.
3,2024-03-22,LinkedIn,http://example.com/image694.jpg,Your you available defense enter value thing these hard citizen street region particularly.,0.5,Low,"Entertainment, Politics, Travel",,"InfluencerC, InfluencerB",Account stage federal professional voice care.
3,2024-04-30,LinkedIn,http://example.com/image805.jpg,Score choice example decision garden reach table.,0.16,High,"Travel, Politics","Tesla, Amazon, Samsung","InfluencerB, InfluencerA, InfluencerE, InfluencerC, InfluencerD",Major town suffer begin interest everybody.
3,2024-03-20,Twitter,http://example.com/image689.jpg,Pm energy scientist necessary into act away.,-0.38,Low,Technology,,InfluencerD,Nation strong old.
3,2024-05-12,TikTok,http://example.com/image871.jpg,Among half value win always group radio.,0.54,Medium,"Politics, Finance","Microsoft, Tesla, Samsung, Nike, Amazon","InfluencerA, InfluencerE, InfluencerB, InfluencerD, InfluencerC",Government nice themselves.
3,2025-03-10,TikTok,http://example.com/image476.jpg,Understand door class son computer include conference.,-0.9,Low,Travel,Samsung,"InfluencerE, InfluencerC, InfluencerB, InfluencerD, InfluencerA",Site in prove same easy.
3,2024-05-16,Twitter,http://example.com/image762.jpg,Him although likely current truth glass star.,0.72,Medium,"Politics, Health","Amazon, Microsoft, Samsung, Tesla, Nike","InfluencerD, InfluencerA",Development process huge everything.
4,2024-04-13,Twitter,http://example.com/image279.jpg,Go meeting quickly such former agree theory end oil.,-0.33,High,Sports,Tesla,"InfluencerB, InfluencerE, InfluencerA",Although others generation skill.
4,2024-08-25,LinkedIn,http://example.com/image418.jpg,Break tonight couple and job mind southern rather vote say culture issue.,-0.34,Medium,"Technology, Fashion","Microsoft, Samsung, Amazon","InfluencerA, InfluencerD, InfluencerB, InfluencerE, InfluencerC",Perhaps professional by tonight medical.
4,2024-11-18,Instagram,http://example.com/image772.jpg,I fast camera inside wait quality total past feeling nature.,-0.22,Medium,"Politics, Travel, Fashion","Microsoft, Tesla",,Fight decision size.
4,2024-10-27,LinkedIn,http://example.com/image345.jpg,Let kind degree list top somebody college be middle plan.,0.34,Medium,"Sports, Health, Politics",Apple,"InfluencerE, InfluencerA, InfluencerD",Behavior weight dog financial southern.
5,2024-05-11,LinkedIn,http://example.com/image139.jpg,Each little sure authority increase picture.,0.73,Low,Entertainment,"Google, Nike, Tesla","InfluencerC, InfluencerD",Responsibility himself hundred challenge.
5,2024-11-25,Instagram,http://example.com/image771.jpg,Sing despite sound receive let newspaper true.,0.9,Medium,"Fashion, Politics",,"InfluencerE, InfluencerA, InfluencerB, InfluencerD, InfluencerC",Lead soon property.
5,2025-03-15,Facebook,http://example.com/image773.jpg,Fish sense kind spring throughout interview trade knowledge city technology late seem style.,-0.94,Low,Technology,"Coca-Cola, Nike, Microsoft, Tesla","InfluencerA, InfluencerB, InfluencerD, InfluencerC, InfluencerE",She miss phone ever.
5,2024-04-16,Twitter,http://example.com/image621.jpg,Doctor from throw ball character him check degree increase.,0.21,High,"Fashion, Health, Travel","Nike, Amazon",,My indeed deal information toward.
5,2024-10-18,Instagram,http://example.com/image590.jpg,Task she herself accept goal send.,0.35,Medium,"Politics, Technology","Tesla, Apple, Google, Coca-Cola","InfluencerE, InfluencerA, InfluencerC, InfluencerD, InfluencerB",Mrs same son today major.
